Model,Image Size,Epochs,Precision,Recall,mAP@0.50,mAP@0.50:0.95,Speed (ms/img)
YOLOv8n (nano),640,50,0.9309,0.8599,0.8842,0.651,13.44
YOLOv8s (small),640,50,0.9493,0.873,0.9124,0.7238,75.11
